Function,sup1,sup2,sup3,sup4,sup5,salary,gender,disabled,race,yearsInPosition,yearsInProfession,age,cred1,cred2,highestDegree,inst1,inst2,inst3,inst4,inst5,instBudget,City,State,Zip,country,Category,instSize,instType
position8,0,0,0,65,5,75000,Man,FALSE,Caucasian,13,13,40,FALSE,FALSE,Master's Degree,16,1,0,350,120,3100000,Edmonton,AB,T6G 2H9,CANADA,one,35630,Public Institution
position7,0,0,0,25,15,68000,Woman,FALSE,Caucasian,3,3,26,FALSE,FALSE,Bachelor's Degree,16,1,0,350,120,3100000,Edmonton,AB,T6G 2H9,CANADA,one,35630,Public Institution
position10,1,0,0,25,15,62000,Woman,FALSE,Caucasian,2,4,28,FALSE,FALSE,Bachelor's Degree,16,1,0,350,120,3100000,Edmonton,AB,T6G 2H9,CANADA,one,35630,Public Institution
position10,0,0,0,0,0,52000,Man,FALSE,Caucasian,1,8,34,FALSE,FALSE,Bachelor's Degree,16,1,0,350,120,3100000,Edmonton,AB,T6G 2H9,CANADA,one,35630,Public Institution
position14,1,0,0,0,0,60000,Woman,FALSE,Caucasian,3,4,35,FALSE,FALSE,Bachelor's Degree,16,1,0,350,120,3100000,Edmonton,AB,T6G 2H9,CANADA,one,35630,Public Institution
position14,0,0,0,0,0,50000,Woman,FALSE,Caucasian,1,2,27,FALSE,FALSE,Bachelor's Degree,16,1,0,350,120,3100000,Edmonton,AB,T6G 2H9,CANADA,one,35630,Public Institution
position13,7,0,0,0,0,72843,Woman,FALSE,Caucasian,6,6,36,FALSE,FALSE,Master's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position5,0,0,0,0,0,52015,Man,FALSE,Caucasian,1,3,37,FALSE,FALSE,Bachelor's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position9,0,0,0,50,1,57966,Woman,FALSE,Caucasian,6,9,37,FALSE,FALSE,Associate's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position6,1,0,0,2,2,56965,Woman,FALSE,Caucasian,5,5,34,FALSE,FALSE,Bachelor's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position6,0,0,0,0,20,60169,Woman,FALSE,Caucasian,20,20,56,FALSE,FALSE,Bachelor's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position12,0,0,0,3,20,55983,Woman,FALSE,Biracial,4,3,30,FALSE,FALSE,Master's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position17,0,0,0,0,0,48284,Woman,FALSE,Caucasian,3,3,25,FALSE,FALSE,No College Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position6,0,0,0,2,10,51050,Woman,FALSE,Caucasian,4,4,56,FALSE,FALSE,Bachelor's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position1,12,0,0,0,0,85000,Man,FALSE,Caucasian,1,NA,48,FALSE,FALSE,Master's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position13,4,0,0,320,0,70000,Man,FALSE,Caucasian,5,12,30,FALSE,FALSE,Bachelor's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position16,0,0,0,110,0,50000,Woman,FALSE,Caucasian,4,8,28,FALSE,FALSE,Bachelor's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position16,0,0,0,75,0,50000,Woman,FALSE,Caucasian,3,10,30,FALSE,FALSE,Bachelor's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position16,0,0,0,75,0,50000,Woman,FALSE,Caucasian,3,3,29,FALSE,FALSE,Bachelor's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position16,0,0,0,60,0,50000,Man,FALSE,Caucasian,4,10,29,FALSE,FALSE,Bachelor's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position1,5,0,0,22,1,70000,Man,FALSE,Asian American,4,14,37,FALSE,FALSE,Bachelor's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position15,0,0,0,1,0,43000,Woman,FALSE,Caucasian,1,3,34,FALSE,FALSE,Bachelor's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position15,0,0,0,15,0,45000,Woman,FALSE,Caucasian,5,7,27,FALSE,FALSE,No College Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position15,0,0,0,6,0,50000,Man,FALSE,Caucasian,22,22,52,FALSE,FALSE,Bachelor's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position15,0,0,0,0,0,50000,Man,FALSE,Caucasian,6,14,58,FALSE,FALSE,No College Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position15,0,0,0,0,0,50000,Man,FALSE,African American,14,20,68,FALSE,FALSE,Bachelor's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position15,0,0,0,0,1,22000,Man,FALSE,Caucasian,4,4,28,FALSE,FALSE,Bachelor's Degree,14,0,0,377,53,2670000,Winnipeg,MB,R3T 2N2,CANADA,one,24470,Public Institution
position1,9,0,0,0,0,132048,Man,FALSE,Caucasian,13,20,45,FALSE,TRUE,Master's Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position4,2,1,0,17,13,75471,Woman,FALSE,Caucasian,7,25,49,FALSE,FALSE,No College Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position10,0,0,0,0,0,68762,Woman,FALSE,Caucasian,9,17,49,FALSE,FALSE,Bachelor's Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position15,4,1,0,5,1,96396,Man,FALSE,Caucasian,10,16,48,FALSE,FALSE,No College Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position6,2,1,0,12,54,82414,Woman,FALSE,Caucasian,15,18,46,FALSE,FALSE,Master's Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position9,0,0,0,50,0,59050,Woman,FALSE,Caucasian,1,6,35,FALSE,FALSE,Bachelor's Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position5,1,1,0,1,0,76225,Woman,FALSE,Caucasian,12,12,41,FALSE,FALSE,Bachelor's Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position17,3,0,0,27,0,61203,Man,FALSE,Caucasian,1,4,37,FALSE,FALSE,Bachelor's Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position8,0,0,0,1,0,76225,Man,FALSE,Caucasian,13,13,47,FALSE,FALSE,Bachelor's Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position14,0,0,0,0,0,69086,Woman,FALSE,Caucasian,2,2,42,FALSE,FALSE,No College Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position20,0,0,0,19,5,68637,Man,FALSE,Caucasian,6,6,34,FALSE,FALSE,Bachelor's Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
NA,0,0,0,0,0,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position4,0,0,0,0,0,43417,Man,FALSE,Caucasian,1,1,25,FALSE,FALSE,Bachelor's Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position4,0,0,0,0,0,52499,Man,FALSE,Caucasian,6,6,30,FALSE,FALSE,Bachelor's Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position10,0,0,0,0,0,49977,Woman,FALSE,Caucasian,6,6,55,FALSE,FALSE,No College Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position15,0,0,0,0,0,62616,Man,FALSE,Caucasian,20,20,56,FALSE,FALSE,No College Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position15,0,0,0,0,0,62616,Man,FALSE,Caucasian,12,12,54,FALSE,FALSE,Bachelor's Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position15,0,0,0,0,0,57916,Man,FALSE,Caucasian,9,11,38,FALSE,FALSE,No College Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position6,0,0,0,0,0,62616,Woman,FALSE,Caucasian,13,15,35,FALSE,FALSE,Bachelor's Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position6,0,0,0,0,0,52670,Woman,FALSE,Caucasian,3,3,45,FALSE,FALSE,No College Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position17,0,0,0,0,0,46650,Woman,FALSE,Caucasian,1,1,26,FALSE,FALSE,Bachelor's Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position17,0,0,0,0,0,48683,Woman,FALSE,Caucasian,3,3,26,FALSE,FALSE,Bachelor's Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position17,0,0,0,0,0,46650,Woman,FALSE,Caucasian,1,1,23,FALSE,FALSE,Bachelor's Degree,22,4,0,132,73,3800000,Calgary,AB,T3E 6K6,Canada,one,9450,Public Institution
position1,7,0,0,105,35,75899,Man,FALSE,Asian American,12,13,56,FALSE,FALSE,Master's Degree,8,0,0,105,42,1300000,Fredericton,NB,E3B 5A3,CANADA,one,8910,Public Institution
position12,3,0,0,21,34,56970,Woman,FALSE,Caucasian,9,10,37,FALSE,FALSE,Master's Degree,8,0,0,105,42,1300000,Fredericton,NB,E3B 5A3,CANADA,one,8910,Public Institution
position11,1,0,0,5,2,50468,Man,FALSE,Caucasian,6,7,38,FALSE,FALSE,Master's Degree,8,0,0,105,42,1300000,Fredericton,NB,E3B 5A3,CANADA,one,8910,Public Institution
position19,0,0,0,23,0,41972,Woman,FALSE,Caucasian,3,7,33,FALSE,FALSE,Bachelor's Degree,8,0,0,105,42,1300000,Fredericton,NB,E3B 5A3,CANADA,one,8910,Public Institution
position17,0,0,0,24,1,38217,Woman,FALSE,Caucasian,1,4,26,FALSE,FALSE,Bachelor's Degree,8,0,0,105,42,1300000,Fredericton,NB,E3B 5A3,CANADA,one,8910,Public Institution
position9,0,0,0,19,0,37475,Man,FALSE,Caucasian,5,10,32,FALSE,FALSE,Bachelor's Degree,8,0,0,105,42,1300000,Fredericton,NB,E3B 5A3,CANADA,one,8910,Public Institution
position5,0,0,0,0,0,44297,Woman,FALSE,Caucasian,1,1,37,FALSE,FALSE,Bachelor's Degree,8,0,0,105,42,1300000,Fredericton,NB,E3B 5A3,CANADA,one,8910,Public Institution
position4,0,0,0,25,0,43295,Woman,FALSE,Caucasian,2,15,39,FALSE,FALSE,Bachelor's Degree,8,0,0,105,42,1300000,Fredericton,NB,E3B 5A3,CANADA,one,8910,Public Institution
NA,12,0,0,0,0,74700,Man,FALSE,Other,7,34,57,FALSE,FALSE,Bachelor's Degree,6,6,0,0,0,NA,Victoria,BC,V8W 2Y2,CANADA,one,16240,NA
NA,0,0,0,30,10,57866.4,Woman,FALSE,Caucasian,4,15,38,FALSE,FALSE,Bachelor's Degree,6,6,0,0,0,NA,Victoria,BC,V8W 2Y2,CANADA,one,16240,NA
NA,0,0,0,30,10,57866.4,Woman,FALSE,Caucasian,10,15,31,FALSE,FALSE,Bachelor's Degree,6,6,0,0,0,NA,Victoria,BC,V8W 2Y2,CANADA,one,16240,NA
NA,0,0,0,50,10,57866.4,Woman,FALSE,Caucasian,6,20,41,FALSE,FALSE,Bachelor's Degree,6,6,0,0,0,NA,Victoria,BC,V8W 2Y2,CANADA,one,16240,NA
NA,0,0,0,6,6,57866.4,Man,FALSE,Caucasian,4,4,41,FALSE,FALSE,Bachelor's Degree,6,6,0,0,0,NA,Victoria,BC,V8W 2Y2,CANADA,one,16240,NA
NA,0,0,0,2,0,57866.4,Woman,FALSE,Caucasian,1,8,29,FALSE,FALSE,Bachelor's Degree,6,6,0,0,0,NA,Victoria,BC,V8W 2Y2,CANADA,one,16240,NA
NA,0,0,0,2,0,35488.8,Man,FALSE,Caucasian,5,5,32,FALSE,FALSE,No College Degree,6,6,0,0,0,NA,Victoria,BC,V8W 2Y2,CANADA,one,16240,NA
NA,0,0,0,15,0,40089.6,Man,FALSE,Caucasian,18,18,50,FALSE,FALSE,No College Degree,6,6,0,0,0,NA,Victoria,BC,V8W 2Y2,CANADA,one,16240,NA
NA,0,0,0,2,0,34200,Woman,FALSE,Caucasian,5,15,38,FALSE,FALSE,No College Degree,6,6,0,0,0,NA,Victoria,BC,V8W 2Y2,CANADA,one,16240,NA
position2,5,0,0,1000,0,102000,Man,FALSE,Caucasian,3,15,39,FALSE,TRUE,Master's Degree,6,0,0,1000,0,1200000,Waterloo,ON,N2L 3GI,CANADA,one,33100,NA
position9,0,0,0,600,0,68000,Man,FALSE,Caucasian,5,7,32,FALSE,FALSE,Bachelor's Degree,6,0,0,1000,0,1200000,Waterloo,ON,N2L 3GI,CANADA,one,33100,NA
position7,0,0,0,150,0,61000,Woman,FALSE,Caucasian,3,3,28,FALSE,FALSE,Bachelor's Degree,6,0,0,1000,0,1200000,Waterloo,ON,N2L 3GI,CANADA,one,33100,NA
position4,0,0,0,150,0,72000,Woman,FALSE,Caucasian,3,15,45,FALSE,FALSE,Bachelor's Degree,6,0,0,1000,0,1200000,Waterloo,ON,N2L 3GI,CANADA,one,33100,NA
position24,0,0,0,100,0,69250,Woman,TRUE,Caucasian,5,5,34,FALSE,FALSE,Bachelor's Degree,6,0,0,1000,0,1200000,Waterloo,ON,N2L 3GI,CANADA,one,33100,NA
position10,0,0,0,3,0,75000,Woman,FALSE,Caucasian,10,18,46,FALSE,FALSE,Bachelor's Degree,6,0,0,1000,0,1200000,Waterloo,ON,N2L 3GI,CANADA,one,33100,NA
position9,2,1,0,200,0,72000,Man,FALSE,Caucasian,6,18,44,FALSE,FALSE,Bachelor's Degree,3,1,0,150,1,1500000,Montreal,QC,H2W 1S4,Canada,one,44900,NA
position12,0,0,0,75,25,50000,Man,FALSE,Caucasian,10,10,46,FALSE,FALSE,Bachelor's Degree,3,1,0,150,1,1500000,Montreal,QC,H2W 1S4,Canada,one,44900,NA
position24,0,0,0,50,10,42000,Woman,FALSE,Caucasian,1,1,30,FALSE,FALSE,Bachelor's Degree,3,1,0,150,1,1500000,Montreal,QC,H2W 1S4,Canada,one,44900,NA
position4,0,0,0,30,1,70000,Man,FALSE,Caucasian,6,6,45,FALSE,FALSE,Bachelor's Degree,3,1,0,150,1,1500000,Montreal,QC,H2W 1S4,Canada,one,44900,NA
position1,1,1,0,20,1,38000,Man,FALSE,Caucasian,6,6,32,FALSE,FALSE,Bachelor's Degree,2,1,0,25,2,277000,Albany,GA,31707,United States,one,6396,Public Institution
position20,0,0,0,5,1,33000,Man,FALSE,Caucasian,2,2,30,FALSE,FALSE,Bachelor's Degree,2,1,0,25,2,277000,Albany,GA,31707,United States,one,6396,Public Institution
position1,1,0,0,12,0,45000,Man,FALSE,Caucasian,9,19,43,FALSE,FALSE,Master's Degree,2,0,0,12,0,52000,Dalton,GA,30720,United States,one,5047,Public Institution
position6,0,0,0,10,0,29000,Woman,FALSE,Caucasian,4,4,39,FALSE,FALSE,Bachelor's Degree,2,0,0,12,0,52000,Dalton,GA,30720,United States,one,5047,Public Institution
position9,0,0,0,4,0,15000,Man,FALSE,Caucasian,2,8,28,FALSE,FALSE,Master's Degree,1,0,0,4,0,NA,Raleigh,NC,27604,United States,one,791,Private Institution
position1,0,0,0,10,3,40410,Man,FALSE,Caucasian,3,6,32,FALSE,FALSE,Master's Degree,1,0,0,10,3,100000,Knoxville,TN,37933-0990,United States,two,10588,Public Institution
position22,0,0,0,0,6,63000,Man,FALSE,Caucasian,9,16,42,FALSE,FALSE,Master's Degree,1,0,0,0,6,100000,Kingwood,TX,77339,United States,two,60428,Public Institution
position1,3,1,0,60,0,67500,Man,FALSE,Caucasian,2,4,45,FALSE,FALSE,Bachelor's Degree,4,1,0,125,3,475000,Abilene,TX,79699,United States,one,4367,Private Institution
position2,0,0,2,20,3,55000,Woman,FALSE,Caucasian,3,4,51,FALSE,FALSE,Doctoral,4,1,0,125,3,475000,Abilene,TX,79699,United States,one,4367,Private Institution
position9,0,0,0,65,0,40600,Man,FALSE,Caucasian,2,4,30,FALSE,FALSE,Master's Degree,4,1,0,125,3,475000,Abilene,TX,79699,United States,one,4367,Private Institution
position4,0,0,0,20,0,26200,Woman,FALSE,Caucasian,2,3,23,FALSE,FALSE,Bachelor's Degree,4,1,0,125,3,475000,Abilene,TX,79699,United States,one,4367,Private Institution
position22,0,0,0,0,0,20800,Woman,FALSE,Caucasian,1,1,31,FALSE,FALSE,Bachelor's Degree,4,1,0,125,3,475000,Abilene,TX,79699,United States,one,4367,Private Institution
position1,5,1,0,0,0,107000,Man,FALSE,Caucasian,15,30,54,TRUE,FALSE,Doctoral,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position17,3,1,0,15,1,61854,Woman,FALSE,Caucasian,8,14,39,FALSE,FALSE,Master's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position13,8,0,2,300,2,61104,Man,FALSE,African American,3,15,38,FALSE,FALSE,Master's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position15,2,14,0,1,1,70689,Man,FALSE,Caucasian,10,20,49,FALSE,FALSE,Bachelor's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position6,2,0,0,75,30,55566,Man,FALSE,Caucasian,13,13,44,FALSE,FALSE,Doctoral,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position21,3,0,1,125,1,51678,Man,FALSE,Caucasian,1,10,35,FALSE,FALSE,Master's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position4,1,2,1,115,1,61712,Man,FALSE,Caucasian,6,6,51,FALSE,FALSE,Bachelor's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position10,1,1,0,0,0,62314,Woman,FALSE,Caucasian,8,8,55,FALSE,FALSE,Master's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position15,0,1,0,10,1,57276,Man,FALSE,Caucasian,9,21,54,FALSE,FALSE,Bachelor's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position19,0,0,0,0,0,46200,Woman,FALSE,Other,0,0,39,FALSE,FALSE,Bachelor's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position9,2,0,1,200,2,48500,Woman,FALSE,Caucasian,0,10,33,FALSE,TRUE,Master's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position9,0,0,1,175,1,36089,Man,FALSE,Caucasian,5,6,31,FALSE,FALSE,Master's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position11,0,0,1,25,1,34919,Man,FALSE,Caucasian,3,6,32,FALSE,FALSE,Master's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position20,0,0,1,25,0,34962,Man,FALSE,Caucasian,3,3,29,FALSE,FALSE,Master's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position21,0,0,0,75,1,34962,Man,FALSE,Caucasian,2,2,27,FALSE,FALSE,Master's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position21,0,0,0,75,1,33000,Man,FALSE,Caucasian,0,1,25,FALSE,FALSE,Master's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position21,0,0,0,75,1,33000,Man,FALSE,Caucasian,0,1,25,FALSE,FALSE,Master's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position5,0,0,0,5,1,40604,Man,FALSE,Caucasian,12,14,45,FALSE,FALSE,Bachelor's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position6,0,0,0,45,15,35246,Woman,FALSE,Caucasian,2,2,30,FALSE,FALSE,Bachelor's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position6,0,0,0,35,15,35280,Man,FALSE,Caucasian,4,4,29,FALSE,FALSE,Master's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position4,0,0,1,125,1,44500,Woman,FALSE,Hispanic,0,2,27,FALSE,FALSE,Master's Degree,21,21,3,450,35,3216569,Tuscaloosa,AL,35487-0373,United States,one,33503,Public Institution
position1,0,0,0,16,0,34139,Man,FALSE,Caucasian,6,6,39,FALSE,FALSE,Bachelor's Degree,1,0,0,16,0,45000,Huntsville,AL,35899,United States,one,7636,Public Institution
position1,8,0,2,60,10,77500,Man,FALSE,Caucasian,3,11,32,FALSE,FALSE,Master's Degree,9,0,2,60,0,1250000,Fairbanks,AK,99775,United States,one,9223,Public Institution
position10,0,0,0,7,0,67495,Woman,FALSE,Caucasian,3,3,NA,FALSE,FALSE,Bachelor's Degree,9,0,2,60,0,1250000,Fairbanks,AK,99775,United States,one,9223,Public Institution
position6,0,0,1,30,5,54225,Woman,FALSE,Caucasian,3,5,28,FALSE,FALSE,Master's Degree,9,0,2,60,0,1250000,Fairbanks,AK,99775,United States,one,9223,Public Institution
position20,1,0,1,6,1,51625,Man,FALSE,Caucasian,2,5,28,FALSE,FALSE,Bachelor's Degree,9,0,2,60,0,1250000,Fairbanks,AK,99775,United States,one,9223,Public Institution
position20,0,0,0,0,0,47673,Man,FALSE,Caucasian,5,5,41,FALSE,FALSE,Bachelor's Degree,9,0,2,60,0,1250000,Fairbanks,AK,99775,United States,one,9223,Public Institution
position22,2,0,0,3,3,51625,Man,FALSE,Caucasian,2,2,30,FALSE,FALSE,No College Degree,9,0,2,60,0,1250000,Fairbanks,AK,99775,United States,one,9223,Public Institution
position15,0,0,0,0,0,48131,Woman,FALSE,Caucasian,6,3,40,FALSE,FALSE,Master's Degree,9,0,2,60,0,1250000,Fairbanks,AK,99775,United States,one,9223,Public Institution
position15,0,0,0,0,0,48131,Man,TRUE,Caucasian,8,3,60,FALSE,FALSE,Associate's Degree,9,0,2,60,0,1250000,Fairbanks,AK,99775,United States,one,9223,Public Institution
position22,0,0,0,4,1,49088,Man,FALSE,Caucasian,1,1,NA,FALSE,FALSE,Bachelor's Degree,9,0,2,60,0,1250000,Fairbanks,AK,99775,United States,one,9223,Public Institution
position20,0,0,0,3,0,32000,Woman,FALSE,Caucasian,2,3,NA,FALSE,FALSE,Bachelor's Degree,9,0,2,60,0,1250000,Fairbanks,AK,99775,United States,one,9223,Public Institution
position9,0,0,0,15,0,32000,Man,FALSE,Caucasian,2,3,NA,FALSE,FALSE,Bachelor's Degree,9,0,2,60,0,1250000,Fairbanks,AK,99775,United States,one,9223,Public Institution
position1,10,0,0,0,0,97450,Woman,FALSE,African American,7,21,50,FALSE,FALSE,Master's Degree,11,0,0,154,0,1300000,Washington,DC,20016-8005,United States,one,12904,Private Institution
position6,5,0,0,0,0,50250,Woman,FALSE,Caucasian,1,8,28,FALSE,FALSE,Master's Degree,11,0,0,154,0,1300000,Washington,DC,20016-8005,United States,one,12904,Private Institution
position11,3,0,0,0,0,52400,Man,FALSE,African American,3,11,34,FALSE,FALSE,Master's Degree,11,0,0,154,0,1300000,Washington,DC,20016-8005,United States,one,12904,Private Institution
position10,1,0,0,0,0,48000,Woman,FALSE,Caucasian,1,6,28,FALSE,FALSE,Master's Degree,11,0,0,154,0,1300000,Washington,DC,20016-8005,United States,one,12904,Private Institution
position9,0,0,0,25,0,39000,Man,FALSE,Caucasian,0,6,26,FALSE,FALSE,Master's Degree,11,0,0,154,0,1300000,Washington,DC,20016-8005,United States,one,12904,Private Institution
position6,0,0,0,30,0,39000,Woman,FALSE,Caucasian,2,4,25,FALSE,FALSE,Master's Degree,11,0,0,154,0,1300000,Washington,DC,20016-8005,United States,one,12904,Private Institution
